,gap_capital injection,gap_crowdfunding,gap_preferred stock,gap_recapitalization,gap_venture capital,gap_virtual data room,score_capital injection,score_crowdfunding,score_preferred stock,score_recapitalization,score_venture capital,score_virtual data room,rating_capital injection,rating_crowdfunding,rating_preferred stock,rating_recapitalization,rating_venture capital,rating_virtual data room,label
trinityfinancial.com,2.780213749259899,4.343546336577533,2.508387975662595,4.242253042462052,4.20052099434439,4.592081869316097,74.94444274902344,76.28571319580078,79.41363525390625,76.0,78.21666717529297,74.0,1.5,2.142857142857143,2.4477272727272728,1.45,2.45,1.0,0.0
trivalleydentalcaremurrieta.com,1.5808811157401828,1.0367404400142441,2.135887310122008,2.745114550670354,1.6776399945022547,1.449962812496814,80.66666412353516,79.75,79.125,83.0,79.74603271484375,84.0952377319336,2.547619047619048,2.5,2.125,2.75,2.8253968253968256,2.966666666666667,0.0
trivir.com,2.723025204907154,0.9564581388403748,6.0,0.4702111211481162,2.633673439156357,2.7012433898677397,90.96666717529297,89.0,70.0,73.66666412353516,81.54166412353516,96.6500015258789,3.95,4.65,1.0,1.3333333333333333,3.25,5.0,0.0
trmlabs.com,3.2666666666666666,1.5777777777777777,6.0,6.0,1.75,2.7666666666666666,82.0,83.33333587646484,70.0,70.0,86.25,85.5,3.0,2.8333333333333335,1.0,1.0,4.0,3.5,1.0
trueofficelearning.com,2.421272688426472,3.243130827431145,1.6604740910731157,3.3491753860186377,2.8098846221171763,2.4674681358619512,87.71666717529297,84.41666412353516,77.25,75.04166412353516,87.38333129882812,91.23333740234375,3.7833333333333337,3.375,2.0277777777777777,1.375,3.85,3.9833333333333334,0.0
truepic.com,0.4666666666666667,0.4666666666666667,2.0166666666666666,1.5,0.4666666666666667,0.4666666666666667,91.0,90.0,79.5,78.66666412353516,90.0,91.0,4.0,5.0,1.0,1.0,5.0,4.0,1.0
trutags.com,1.3166666666666667,1.3166666666666667,1.3166666666666667,1.8222222222222222,1.3166666666666667,1.3166666666666667,85.33332824707031,92.5,74.16667175292969,81.77777862548828,96.83332824707031,91.33332824707031,3.6666666666666665,5.0,1.3333333333333335,2.3333333333333335,5.0,4.333333333333333,1.0
tseboston.com,4.0011168841903535,3.3100638607096746,6.0,2.703145773955962,2.5217177110597238,3.963512314015343,72.58332824707031,70.83332824707031,70.0,75.0,78.0,92.5,1.0,1.0,1.0,1.0,2.0,4.0,0.0
tsrconsulting.com,6.0,6.0,2.1566732049044903,6.0,6.0,0.716323962303879,70.0,70.0,85.0,70.0,70.0,85.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0
tttech-industrial.com,2.245720410232978,2.096990500210612,2.74670083768616,3.7423043087079666,2.3983102546059367,2.145895675213175,80.0,84.0,75.11111450195312,70.0,78.0,83.75,2.5,3.5,1.75,1.0,2.0,3.0,0.0
tucsontamale.com,2.8321798753971463,3.4649239870951094,1.2975577557505293,3.3109174994470343,3.341287882309065,2.6833138710445685,79.05952453613281,74.93055725097656,74.5,73.0,82.13888549804688,78.5625,2.2083333333333335,1.6527777777777777,1.25,1.0,3.5,1.9375,0.0
tvammo.com,2.5166666666666666,1.8047619047619048,2.5166666666666666,1.8047619047619048,2.5166666666666666,2.5166666666666666,77.0,77.0,85.75,80.66666412353516,84.75,88.25,1.0,1.0,1.0,2.0,1.0,1.0,1.0
tvneurosurgery.com,2.6190548531294895,3.7369193544650763,1.6338133785834088,2.5454479108228654,2.8093071879160525,2.385189809114452,76.10416412353516,70.0,86.0,75.91667175292969,74.5,83.4000015258789,1.7083333333333335,1.0,4.0,1.5,1.7222222222222223,2.6666666666666665,0.0
