,LGBM(Baseline),ReLU-DNN,GAMI-Net,EBM,Auto Sklearn(Grad Boost),H2O Drvierless
fold_0,0.6399999999999999,0.464,0.5571428571428572,0.6808510638297872,0.6962963,0.712
fold_1,0.6666666666666667,0.6535947712418301,0.5223880597014925,0.7346938775510203,0.71165644,0.712
fold_2,0.5903614457831325,0.5970149253731344,0.631578947368421,0.7027027027027027,0.71724138,0.712
fold_3,0.6499999999999999,0.5426356589147286,0.654320987654321,0.6986301369863014,0.81761006,0.712
fold_4,0.6583850931677019,0.47244094488188976,0.6233766233766234,0.6842105263157895,0.69677419,0.712
